undefined || info || return Customer List || undefined | data [{"customer_id":1,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed@gmail.com","customer_username":"mohamed123","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":5,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed1@gmail.com","customer_username":"mohamed","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":6,"customer_name":"Manar","customer_email":"Manar@gmail.com","customer_username":"Manar","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":8,"customer_name":"yasmine","customer_email":"yasmine@gmail.com","customer_username":"yasmine","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":10,"customer_name":"hend","customer_email":"hend@gmail.com","customer_username":"hend","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"}]
Thu Jun 02 2022 05:21:27 GMT+0200 (Eastern European Standard Time) || info || return Customer List || undefined | data : [{"customer_id":1,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed@gmail.com","customer_username":"mohamed123","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":5,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed1@gmail.com","customer_username":"mohamed","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":6,"customer_name":"Manar","customer_email":"Manar@gmail.com","customer_username":"Manar","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":8,"customer_name":"yasmine","customer_email":"yasmine@gmail.com","customer_username":"yasmine","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":10,"customer_name":"hend","customer_email":"hend@gmail.com","customer_username":"hend","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"}]
Thu Jun 02 2022 05:22:37 GMT+0200 (Eastern European Standard Time) || info || return Customer List| data : [{"customer_id":1,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed@gmail.com","customer_username":"mohamed123","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":5,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed1@gmail.com","customer_username":"mohamed","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":6,"customer_name":"Manar","customer_email":"Manar@gmail.com","customer_username":"Manar","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":8,"customer_name":"yasmine","customer_email":"yasmine@gmail.com","customer_username":"yasmine","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":10,"customer_name":"hend","customer_email":"hend@gmail.com","customer_username":"hend","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"}]
Thu Jun 02 2022 05:24:18 GMT+0200 (Eastern European Standard Time) || info || return Customer List| data : [{"customer_id":1,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed@gmail.com","customer_username":"mohamed123","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":5,"customer_name":"mohamed Abdel nasser","customer_email":"mohamed1@gmail.com","customer_username":"mohamed","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Male","mobile":"01208944100"},{"customer_id":6,"customer_name":"Manar","customer_email":"Manar@gmail.com","customer_username":"Manar","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":8,"customer_name":"yasmine","customer_email":"yasmine@gmail.com","customer_username":"yasmine","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"},{"customer_id":10,"customer_name":"hend","customer_email":"hend@gmail.com","customer_username":"hend","customer_password":"123456789","customer_admin":0,"customer_city":"elmenufia","customer_country":"egypt","customer_on_created":null,"customer_on_update":null,"gender":"Female","mobile":"01208944100"}]
Thu Jun 02 2022 05:24:18 GMT+0200 (Eastern European Standard Time) || error || return Error| data : {}
Thu Jun 02 2022 05:29:36 GMT+0200 (Eastern European Standard Time) || error || return Error | data : "ER_DUP_ENTRY: Duplicate entry 'hend@gmail.com' for key 'customer.customer_email'"
Thu Jun 02 2022 05:30:11 GMT+0200 (Eastern European Standard Time) || error || return Error | data : {"code":"ER_DUP_ENTRY","errno":1062,"sqlMessage":"Duplicate entry 'hend@gmail.com' for key 'customer.customer_email'","sqlState":"23000","index":0,"sql":"INSERT INTO customer (customer_name, customer_email, customer_username, customer_password, customer_city, customer_country, gender, mobile) VALUE ('hend', 'hend@gmail.com', 'hend', '123456789', 'elmenufia', 'egypt', 'Female', '01208944100')"}
Thu Jun 02 2022 05:30:42 GMT+0200 (Eastern European Standard Time) || error || return Error | data : {"code":"ER_DUP_ENTRY","errno":1062,"sqlMessage":"Duplicate entry 'hend' for key 'customer.customer_username'","sqlState":"23000","index":0,"sql":"INSERT INTO customer (customer_name, customer_email, customer_username, customer_password, customer_city, customer_country, gender, mobile) VALUE ('hend', 'yousef@gmail.com', 'hend', '123456789', 'elmenufia', 'egypt', 'Female', '01208944100')"}
Thu Jun 02 2022 05:31:49 GMT+0200 (Eastern European Standard Time) || info || RETURN ADD CUSTOMER SUCCESSFULLY | data : {"fieldCount":0,"affectedRows":1,"insertId":14,"serverStatus":2,"warningCount":0,"message":"","protocol41":true,"changedRows":0}
Thu Jun 02 2022 05:32:35 GMT+0200 (Eastern European Standard Time) || info || RETURN ADD CUSTOMER SUCCESSFULLY | data : {"fieldCount":0,"affectedRows":1,"insertId":15,"serverStatus":2,"warningCount":0,"message":"","protocol41":true,"changedRows":0}
Thu Jun 02 2022 05:43:12 GMT+0200 (Eastern European Standard Time) || error || return Error | data : {"code":"ER_TRUNCATED_WRONG_VALUE","errno":1292,"sqlMessage":"Incorrect datetime value: '1654141392268' for column 'customer_on_created' at row 1","sqlState":"22007","index":0,"sql":"INSERT INTO customer (customer_name, customer_email, customer_username, customer_password, customer_city, customer_country,customer_on_created ,gender, mobile) VALUE ('mohand', 'mohand@gmail.com', 'mohand', '123456789', 'elmenufia', 'egypt',1654141392268 , 'Female', '01208944100')"}
Thu Jun 02 2022 05:45:25 GMT+0200 (Eastern European Standard Time) || error || return Error | data : {"code":"ER_TRUNCATED_WRONG_VALUE","errno":1292,"sqlMessage":"Incorrect datetime value: '1654141525825' for column 'customer_on_created' at row 1","sqlState":"22007","index":0,"sql":"INSERT INTO customer (customer_name, customer_email, customer_username, customer_password, customer_city, customer_country,customer_on_created ,gender, mobile) VALUE ('mohand', 'mohand@gmail.com', 'mohand', '123456789', 'elmenufia', 'egypt',1654141525825 , 'Female', '01208944100')"}
Thu Jun 02 2022 05:46:31 GMT+0200 (Eastern European Standard Time) || error || return Error | data : {}
